Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,LIN Yue POSITION,LIN Yue LAP TIME,LIN Yue ELAPSED TIME,PARK Junghyun POSITION,PARK Junghyun LAP TIME,PARK Junghyun ELAPSED TIME
1,7.49,7.49,3,7.98,7.98,2,7.62,7.62,4,8.07,8.07
1,9.69,17.18,3,9.82,17.80,2,9.68,17.30,4,9.91,17.98
1,9.21,26.39,3,9.28,27.08,2,9.17,26.47,4,9.25,27.23
2,9.37,35.76,3,9.32,36.40,1,9.20,35.67,4,9.26,36.49
2,9.47,45.23,3,9.46,45.86,1,9.51,45.18,4,9.42,45.897
