Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,TSAI Ping-Yuan POSITION,TSAI Ping-Yuan LAP TIME,TSAI Ping-Yuan ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME
1,8.585,8.585,2,8.592,8.592,6,9.217,9.217,3,8.593,8.593,5,8.766,8.766,4,8.626,8.626
1,11.802,20.387,2,11.963,20.555,6,11.721,20.937,3,11.998,20.591,4,11.882,20.648,5,12.212,20.838
1,11.584,31.971,2,11.422,31.977,6,11.593,32.530,4,11.740,32.331,3,11.455,32.103,5,11.506,32.344
2,10.804,42.775,1,10.730,42.707,6,10.689,43.218,5,10.755,43.086,3,10.799,42.902,4,10.633,42.977
3,10.168,52.943,2,9.972,52.679,6,10.181,53.399,5,10.121,53.207,4,10.225,53.127,1,9.699,52.676
3,10.032,1:02.975,2,10.237,1:02.916,6,9.927,1:03.326,5,9.958,1:03.165,4,9.931,1:03.058,1,10.105,1:02.781
3,10.213,1:13.187,2,10.173,1:13.089,6,10.141,1:13.467,4,10.118,1:13.283,5,10.280,1:13.338,1,10.204,1:12.985
4,9.915,1:23.102,3,9.944,1:23.032,6,10.003,1:23.470,2,9.704,1:22.987,5,9.816,1:23.154,1,9.942,1:22.928
1,9.787,1:32.890,3,9.942,1:32.974,6,10.156,1:33.626,4,10.115,1:33.102,5,10.180,1:33.334,2,10.018,1:32.945
2,9.890,1:42.780,3,9.808,1:42.783,6,10.896,1:44.522,4,9.791,1:42.894,5,9.654,1:42.988,1,9.716,1:42.661
3,9.669,1:52.448,2,9.519,1:52.302,6,11.122,1:55.644,4,9.690,1:52.584,5,9.623,1:52.611,1,9.614,1:52.275
2,9.474,2:01.922,3,9.661,2:01.963,6,11.777,2:07.421,4,9.394,2:01.978,5,9.417,2:02.028,1,9.479,2:01.754
1,9.058,2:10.980,4,9.348,2:11.311,6,12.071,2:19.493,3,9.238,2:11.216,2,9.168,2:11.197,5,9.726,2:11.480
2,9.326,2:20.306,1,8.851,2:20.162,6,12.328,2:31.821,4,9.240,2:20.457,3,9.248,2:20.444,5,9.673,2:21.154
