OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,YANG Jin POSITION,YANG Jin LAP TIME,YANG Jin ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME
2,9.75,9.75,5,10.18,10.18,3,9.84,9.84,4,9.97,9.97,1,9.63,9.63
3,14.38,24.13,5,14.34,24.52,1,13.85,23.69,4,14.29,24.26,2,14.35,23.98
3,11.97,36.10,5,11.85,36.37,1,12.14,35.83,4,12.00,36.26,2,11.99,35.97
3,11.59,47.69,4,11.39,47.76,1,11.62,47.45,5,11.57,47.83,2,11.61,47.58
5,10.61,58.30,1,10.06,57.82,2,10.48,57.93,4,10.33,58.16,3,10.46,58.04
5,9.88,1:08.18,2,10.07,1:07.89,3,10.05,1:07.98,4,9.82,1:07.98,1,9.74,1:07.78
5,9.75,1:17.93,1,9.57,1:17.46,2,9.56,1:17.54,4,9.82,1:17.80,3,9.94,1:17.72
5,9.39,1:27.32,1,9.50,1:26.96,2,9.43,1:26.97,3,9.32,1:27.12,4,9.46,1:27.18
5,9.33,1:36.65,2,9.31,1:36.27,1,9.28,1:36.25,3,9.28,1:36.40,4,9.34,1:36.52
5,9.26,1:45.91,1,9.00,1:45.27,2,9.12,1:45.37,3,9.06,1:45.46,4,9.06,1:45.58
5,9.58,1:55.49,1,8.97,1:54.24,3,9.07,1:54.44,2,8.95,1:54.41,4,9.05,1:54.63
5,10.09,2:05.58,1,8.94,2:03.18,3,9.29,2:03.73,2,9.07,2:03.48,4,9.15,2:03.78
5,10.44,2:16.02,1,9.25,2:12.43,4,9.69,2:13.42,2,9.26,2:12.74,3,9.04,2:12.82
5,10.95,2:26.967,1,9.61,2:22.038,4,10.16,2:23.574,3,9.61,2:22.345,2,9.42,2:22.238
