Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Krystian ZDROJKOWSKI POSITION,Krystian ZDROJKOWSKI LAP TIME,Krystian ZDROJKOWSKI ELAPSED TIME
2,15.681,15.681,4,15.875,15.875,3,15.777,15.777,1,15.604,15.604
4,11.421,27.101,2,11.160,27.034,1,11.104,26.881,3,11.461,27.064
3,9.892,36.993,1,9.559,36.593,2,10.075,36.956,4,9.930,36.994
3,9.413,46.406,2,9.691,46.283,1,9.264,46.219,4,9.447,46.441
3,9.437,55.842,2,9.414,55.697,1,9.337,55.555,4,9.431,55.871
3,9.390,1:05.232,2,9.403,1:05.100,1,9.415,1:04.970,4,9.436,1:05.306
2,9.033,1:14.265,4,9.968,1:15.068,1,9.156,1:14.125,3,9.292,1:14.598
2,9.365,1:23.629,4,9.598,1:24.666,1,9.261,1:23.386,3,9.374,1:23.972
0,,DQ,3,9.67,1:34.336,1,9.57,1:32.956,2,9.94,1:33.908
