SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,AN Kai POSITION,AN Kai LAP TIME,AN Kai ELAPSED TIME,Koen SLOOTWEG POSITION,Koen SLOOTWEG LAP TIME,Koen SLOOTWEG ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME
6,9.05,9.05,3,8.58,8.58,2,8.57,,5,8.91,8.91,4,8.68,8.68,1,8.50,8.50,7,9.23,9.23
6,10.95,20.00,3,11.14,19.72,1,11.04,,5,11.03,19.94,4,11.11,19.79,2,11.13,19.63,7,10.94,20.17
2,9.57,29.57,5,10.04,29.76,4,10.11,,6,9.99,29.93,1,9.74,29.53,3,9.98,29.61,7,9.88,30.05
1,9.69,39.26,5,9.89,39.65,4,9.87,,6,9.73,39.66,2,9.83,39.36,3,9.86,39.47,7,9.80,39.85
4,9.91,49.17,6,9.65,49.30,2,9.55,,7,9.84,49.50,1,9.71,49.07,3,9.69,49.16,5,9.41,49.26
5,9.43,58.60,6,9.35,58.65,3,9.24,,7,9.22,58.72,1,9.26,58.33,4,9.31,58.47,2,9.09,58.35
3,8.81,1:07.41,6,9.09,1:07.74,4,9.11,,7,9.14,1:07.86,2,9.03,1:07.36,5,9.13,1:07.60,1,9.00,1:07.35
2,9.11,1:16.52,6,9.29,1:17.03,3,9.16,,5,9.09,1:16.95,1,9.05,1:16.41,4,9.15,1:16.75,7,9.77,1:17.12
2,9.44,1:25.96,6,9.41,1:26.44,3,9.45,,5,9.37,1:26.32,1,9.45,1:25.86,4,9.45,1:26.20,7,9.42,1:26.54
2,9.26,1:35.22,6,9.42,1:35.86,3,9.23,,5,9.30,1:35.62,1,9.26,1:35.12,4,9.25,1:35.45,7,9.39,1:35.93
7,20.37,1:55.59,6,9.41,1:45.27,5,9.84,,3,9.30,1:44.92,1,9.35,1:44.47,2,9.28,1:44.73,4,9.11,1:45.04
7,21.54,2:17.13,5,9.57,1:54.84,6,10.15,,3,9.25,1:54.17,1,9.16,1:53.63,2,9.12,1:53.85,4,9.21,1:54.25
7,12.51,2:29.64,5,9.78,2:04.62,6,10.27,,4,9.31,2:03.48,1,9.13,2:02.76,2,9.09,2:02.94,3,8.98,2:03.23
6,11.62,2:41.260,5,10.16,2:14.780,6,10.77,,4,9.54,2:13.015,1,9.19,2:11.947,3,9.32,2:12.259,2,8.77,2:11.998
