Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME
1,6.85,6.85,3,7.08,7.08,2,6.94,6.94,4,7.15,7.15
2,9.35,16.20,4,9.36,16.44,1,9.23,16.17,3,9.21,16.36
3,9.03,25.23,4,8.91,25.35,1,8.91,25.08,2,8.85,25.21
2,9.00,34.23,4,8.98,34.33,1,8.96,34.04,3,9.03,34.24
3,9.22,43.447,4,9.18,43.508,1,9.23,43.264,2,9.09,43.325
