Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME
2,7.67,7.67,4,8.18,8.18,3,7.73,7.73,1,7.35,7.35
2,9.72,17.39,4,9.46,17.64,3,9.77,17.50,1,9.47,16.82
2,9.10,26.49,3,8.97,26.61,4,9.34,26.84,1,9.07,25.89
3,9.46,35.95,2,9.18,35.79,4,9.51,36.35,1,9.19,35.08
3,9.45,45.380,2,9.20,44.99,4,9.49,45.823,1,9.31,44.39
