Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Rusty SMITH POSITION,Rusty SMITH LAP TIME,Rusty SMITH ELAPSED TIME
2,6.894,6.894,1,6.804,6.804,4,7.290,7.290,3,7.279,7.279
2,9.415,16.309,1,9.149,15.953,4,9.227,16.517,3,9.227,16.505
3,9.185,25.494,1,8.835,24.787,4,9.005,25.522,2,8.562,25.066
3,9.266,34.759,1,9.064,33.851,4,9.285,34.806,2,8.852,33.918
4,9.51,44.263,1,9.28,43.122,3,9.12,43.926,2,9.24,43.157
