NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Klaudio NASRI POSITION,Klaudio NASRI LAP TIME,Klaudio NASRI ELAPSED TIME,Maksim ZHERNOVY POSITION,Maksim ZHERNOVY LAP TIME,Maksim ZHERNOVY ELAPSED TIME,Dembereldavga DEMCHIGSUREN POSITION,Dembereldavga DEMCHIGSUREN LAP TIME,Dembereldavga DEMCHIGSUREN ELAPSED TIME
2,7.32,7.32,3,7.45,7.45,4,7.72,7.72,1,7.12,7.12,5,8.03,8.03
2,9.41,16.73,3,9.40,16.85,4,9.84,17.56,1,9.54,16.66,5,23.03,31.06
4,19.12,35.85,2,9.10,25.95,3,9.61,27.17,1,9.26,25.92,5,14.51,45.57
4,12.08,47.93,1,9.00,34.95,3,9.79,36.96,2,9.75,35.67,5,11.80,57.37
4,11.44,59.363,1,9.38,44.329,3,9.98,46.938,2,10.32,45.990,5,24.38,1:21.741
