BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
1,6.89,6.89,3,7.11,7.11,2,6.98,6.98,4,7.30,7.30
1,8.93,15.82,3,8.96,16.07,2,9.01,15.99,4,9.04,16.34
1,8.62,24.44,3,8.73,24.80,2,8.79,24.78,4,8.78,25.12
1,8.80,33.24,2,8.75,33.55,3,9.09,33.87,4,8.84,33.96
1,9.00,42.231,2,8.85,42.399,0,,PEN,3,9.21,43.162
