Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME
1,11.04,11.04,4,11.42,11.42,6,11.96,11.96,3,11.20,11.20,2,11.07,11.07,5,11.72,11.72
2,15.33,26.37,4,15.17,26.59,6,15.19,27.15,3,15.28,26.48,1,15.18,26.25,5,15.09,26.81
2,13.47,39.84,4,13.47,40.06,6,13.52,40.67,3,13.50,39.98,1,13.45,39.70,5,13.46,40.27
2,13.27,53.11,4,13.25,53.31,6,12.98,53.65,3,13.27,53.25,1,13.28,52.98,5,13.19,53.46
2,13.01,1:06.12,4,13.06,1:06.37,6,13.09,1:06.74,3,13.01,1:06.26,1,13.07,1:06.05,5,13.09,1:06.55
2,12.78,1:18.90,4,12.74,1:19.11,6,12.54,1:19.28,3,12.75,1:19.01,1,12.73,1:18.78,5,12.71,1:19.26
3,11.87,1:30.77,5,11.99,1:31.10,6,11.98,1:31.26,4,11.89,1:30.90,2,11.84,1:30.62,1,11.19,1:30.45
2,10.16,1:40.93,4,9.98,1:41.08,6,10.10,1:41.36,5,10.21,1:41.11,3,10.36,1:40.98,1,10.43,1:40.88
1,10.04,1:50.97,3,10.11,1:51.19,6,10.00,1:51.36,5,10.19,1:51.30,2,10.16,1:51.14,4,10.37,1:51.25
1,9.99,2:00.96,6,23.11,2:14.30,4,9.90,2:01.26,2,9.83,2:01.13,5,17.43,2:08.57,3,10.01,2:01.26
2,9.56,2:10.52,6,24.23,2:38.53,1,9.11,2:10.37,3,9.61,2:10.74,5,16.03,2:24.60,4,9.70,2:10.96
2,9.19,2:19.71,6,15.20,2:53.73,1,8.98,2:19.35,3,9.17,2:19.91,5,14.62,2:39.22,4,9.28,2:20.24
2,9.29,2:29.00,6,14.20,3:07.93,1,9.02,2:28.37,3,9.34,2:29.25,5,13.14,2:52.36,4,9.28,2:29.52
2,9.55,2:38.545,0,,notime,1,9.66,2:38.029,3,9.74,2:38.983,0,,notime,4,9.48,2:38.991
