Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Alexis YANG POSITION,Alexis YANG LAP TIME,Alexis YANG ELAPSED TIME
2,7.25,7.25,1,7.11,7.11,3,7.29,7.29,4,7.40,7.40
2,9.13,16.38,1,9.16,16.27,3,9.19,16.48,4,9.15,16.55
1,8.63,25.01,2,8.87,25.14,3,8.75,25.23,4,8.74,25.29
1,8.99,34.00,4,25.90,51.04,3,9.47,34.70,2,8.90,34.19
1,9.10,43.091,3,11.38,1:02.417,0,,PEN,2,9.03,43.219
