Nicola FRANCESCHINA POSITION,Nicola FRANCESCHINA LAP TIME,Nicola FRANCESCHINA ELAPSED TIME,Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Dmitry VASILENKO POSITION,Dmitry VASILENKO LAP TIME,Dmitry VASILENKO ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,Gisle TVERLAND POSITION,Gisle TVERLAND LAP TIME,Gisle TVERLAND ELAPSED TIME
3,15.596,15.596,1,15.304,15.304,2,15.452,15.452,5,15.827,15.827,4,15.757,15.757
2,10.414,26.009,3,10.938,26.241,1,10.409,25.860,5,10.768,26.594,4,10.706,26.462
2,10.475,36.484,3,10.321,36.562,1,10.509,36.368,5,10.311,36.905,4,10.174,36.636
2,10.107,46.591,4,10.158,46.719,1,10.192,46.560,5,10.194,47.099,3,10.021,46.657
3,9.833,56.424,4,9.875,56.594,1,9.522,56.082,5,9.495,56.594,2,9.652,56.308
2,9.377,1:05.800,5,9.597,1:06.190,1,8.157,1:04.239,4,9.511,1:06.104,3,9.680,1:05.988
1,9.177,1:14.976,5,9.535,1:15.725,2,11.111,1:15.350,3,9.307,1:15.411,4,9.559,1:15.547
1,9.221,1:24.197,4,9.247,1:24.972,2,9.394,1:24.743,3,9.503,1:24.914,5,10.000,1:25.546
1,10.08,1:34.276,3,9.67,1:34.643,2,9.84,1:34.578,4,10.14,1:35.046,5,9.94,1:35.481
