Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Sherry Lea STUTHRIDGE POSITION,Sherry Lea STUTHRIDGE LAP TIME,Sherry Lea STUTHRIDGE ELAPSED TIME
4,11.88,11.88,5,12.07,12.07,6,12.28,12.28,2,11.75,11.75,1,11.68,11.68,3,11.79,11.79
4,18.03,29.91,5,17.95,30.02,6,17.97,30.25,3,18.02,29.77,1,17.67,29.35,2,17.70,29.49
3,15.35,45.26,5,15.42,45.44,6,15.44,45.69,4,15.56,45.33,1,15.58,44.93,2,15.55,45.04
3,13.22,58.48,4,13.11,58.55,6,13.08,58.77,1,12.95,58.28,2,13.50,58.43,5,13.54,58.58
1,10.82,1:09.30,4,11.41,1:09.96,5,11.36,1:10.13,2,11.39,1:09.67,3,11.41,1:09.84,6,11.76,1:10.34
2,11.55,1:20.85,4,11.05,1:21.01,5,11.04,1:21.17,1,11.14,1:20.81,3,11.08,1:20.92,6,11.08,1:21.42
4,10.45,1:31.30,2,9.99,1:31.00,5,10.25,1:31.42,3,10.40,1:31.21,1,9.98,1:30.90,6,11.01,1:32.43
3,10.07,1:41.37,2,10.34,1:41.34,5,10.21,1:41.63,4,10.19,1:41.40,1,10.35,1:41.25,6,11.49,1:43.92
4,10.21,1:51.58,3,10.16,1:51.50,5,10.21,1:51.84,1,10.01,1:51.41,2,10.16,1:51.41,6,11.58,1:55.50
4,9.69,2:01.27,3,9.68,2:01.18,5,10.25,2:02.09,1,9.48,2:00.89,2,9.64,2:01.05,6,12.06,2:07.56
4,9.74,2:11.01,3,9.73,2:10.91,5,11.00,2:13.09,1,9.66,2:10.55,2,9.61,2:10.66,6,13.78,2:21.34
3,9.87,2:20.88,4,10.29,2:21.20,5,11.86,2:24.95,1,9.65,2:20.20,2,9.63,2:20.29,6,13.42,2:34.76
3,9.99,2:30.87,4,10.47,2:31.67,5,12.36,2:37.31,1,9.69,2:29.89,2,9.69,2:29.98,6,13.90,2:48.66
3,10.48,2:41.348,4,11.02,2:42.689,5,12.98,2:50.282,1,9.92,2:39.805,2,9.94,2:39.912,6,13.75,3:02.409
