Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
2,13.74,13.74,1,13.64,13.64,3,13.80,13.80,5,14.03,14.03,4,13.91,13.91
3,10.89,24.63,1,10.78,24.42,2,10.66,24.46,5,10.72,24.75,4,10.79,24.70
3,10.31,34.94,1,10.30,34.72,2,10.34,34.80,5,10.45,35.20,4,10.36,35.06
3,10.10,45.04,1,10.12,44.84,2,10.11,44.91,4,9.96,45.16,5,10.13,45.19
3,9.67,54.71,1,9.69,54.53,2,9.71,54.62,4,9.70,54.86,5,9.77,54.96
1,9.09,1:03.80,3,9.41,1:03.94,2,9.31,1:03.93,5,9.25,1:04.11,4,9.12,1:04.08
1,9.12,1:12.92,4,9.34,1:13.28,2,9.07,1:13.00,5,9.32,1:13.43,3,9.20,1:13.28
2,9.18,1:22.10,4,9.56,1:22.84,1,9.04,1:22.04,5,9.47,1:22.90,3,8.89,1:22.17
4,25.11,1:47.204,3,11.27,1:34.110,1,9.18,1:31.219,2,9.72,1:32.612,0,,PEN
