Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
2,7.66,7.66,1,7.48,7.48,3,7.70,7.70
3,9.94,17.60,1,9.89,17.37,2,9.75,17.45
3,9.44,27.04,2,9.46,26.83,1,9.35,26.80
3,9.58,36.62,2,9.54,36.37,1,9.36,36.16
3,9.66,46.273,2,9.76,46.125,1,9.71,45.868
