Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME,ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME,Victor MARTINEZ-BLANCH POSITION,Victor MARTINEZ-BLANCH LAP TIME,Victor MARTINEZ-BLANCH ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME
3,7.09,7.09,1,6.94,6.94,5,7.56,7.56,4,7.28,7.28,2,7.06,7.06
3,9.03,16.12,2,8.95,15.89,5,9.28,16.84,4,9.45,16.73,1,8.70,15.76
3,8.45,24.57,2,8.47,24.36,5,9.21,26.05,4,9.26,25.99,1,8.45,24.21
3,8.64,33.21,2,8.64,33.00,5,9.48,35.53,4,9.50,35.49,1,8.51,32.72
2,8.94,42.15,3,9.54,42.54,4,9.60,45.13,5,9.89,45.38,1,8.81,41.53
