BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,Teppei KIKUCHI POSITION,Teppei KIKUCHI LAP TIME,Teppei KIKUCHI ELAPSED TIME
1,6.82,6.82,2,6.96,6.96,4,7.31,7.31,3,7.04,7.04,5,7.43,7.43
1,8.81,15.63,2,8.73,15.69,4,8.86,16.17,3,8.75,15.79,5,8.84,16.27
4,8.83,24.46,1,8.33,24.02,3,8.20,24.37,2,8.30,24.09,5,8.23,24.50
5,8.51,32.97,1,8.42,32.44,3,8.26,32.63,2,8.46,32.55,4,8.26,32.76
4,8.55,41.525,1,8.46,40.90,3,8.51,41.149,2,8.52,41.07,5,15.97,48.737
