MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,ANDERMANN Dominic POSITION,ANDERMANN Dominic LAP TIME,ANDERMANN Dominic ELAPSED TIME,Augustin GERE POSITION,Augustin GERE LAP TIME,Augustin GERE ELAPSED TIME
1,13.54,13.54,3,13.82,13.82,4,13.97,13.97,5,14.09,14.09,2,13.71,13.71
1,10.21,23.75,3,10.18,24.00,4,10.14,24.11,5,10.12,24.21,2,10.17,23.88
2,9.83,33.58,3,9.78,33.78,4,9.77,33.88,5,9.78,33.99,1,9.66,33.54
2,9.43,43.01,3,9.37,43.15,4,9.38,43.26,5,9.38,43.37,1,9.33,42.87
2,9.26,52.27,3,9.27,52.42,4,9.24,52.50,5,9.23,52.60,1,9.26,52.13
4,9.29,1:01.56,2,8.90,1:01.32,3,9.04,1:01.54,5,9.11,1:01.71,1,9.10,1:01.23
5,9.47,1:11.03,2,9.07,1:10.39,3,8.99,1:10.53,4,9.17,1:10.88,1,9.06,1:10.29
5,9.75,1:20.78,1,9.02,1:19.41,3,9.05,1:19.58,4,9.29,1:20.17,2,9.19,1:19.48
5,10.51,1:31.29,1,9.17,1:28.58,3,9.35,1:28.93,4,9.56,1:29.73,2,9.39,1:28.87
