DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,STODDARD Corinne POSITION,STODDARD Corinne LAP TIME,STODDARD Corinne ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,ZHANG Yuting POSITION,ZHANG Yuting LAP TIME,ZHANG Yuting ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
6,9.90,9.90,2,9.42,9.42,7,10.04,,1,9.29,9.29,3,9.43,9.43,4,9.53,9.53,5,9.68,9.68
6,12.05,21.95,2,12.07,21.49,7,12.02,,1,12.04,21.33,3,12.16,21.59,4,12.17,21.70,5,12.12,21.80
6,11.29,33.24,2,11.28,32.77,7,11.27,,1,11.35,32.68,3,11.31,32.90,4,11.31,33.01,5,11.31,33.11
6,10.82,44.06,3,10.97,43.74,7,10.86,,1,10.97,43.65,5,10.95,43.85,2,10.69,43.70,4,10.68,43.79
6,10.07,54.13,4,10.17,53.91,7,10.03,,3,10.16,53.81,5,10.15,54.00,2,10.05,53.75,1,9.92,53.71
6,10.25,1:04.38,1,10.06,1:03.97,7,10.26,,4,10.33,1:04.14,5,10.27,1:04.27,3,10.33,1:04.08,1,10.26,1:03.97
6,9.91,1:14.29,1,9.91,1:13.88,7,9.91,,5,10.02,1:14.16,4,9.83,1:14.10,3,9.96,1:14.04,2,9.99,1:13.96
4,9.74,1:24.03,1,9.93,1:23.81,6,9.77,,4,9.87,1:24.03,6,10.06,1:24.16,2,9.79,1:23.83,3,9.98,1:23.94
2,9.33,1:33.36,4,9.74,1:33.55,6,9.51,,5,9.53,1:33.56,7,9.66,1:33.82,1,9.45,1:33.28,3,9.51,1:33.45
2,9.90,1:43.26,6,10.18,1:43.73,5,9.88,,4,9.87,1:43.43,7,9.97,1:43.79,1,9.91,1:43.19,3,9.88,1:43.33
2,9.86,1:53.12,7,9.92,1:53.65,5,9.85,,4,9.88,1:53.31,6,9.73,1:53.52,1,9.86,1:53.05,3,9.87,1:53.20
3,9.86,2:02.98,7,9.91,2:03.56,5,9.81,,4,9.82,2:03.13,6,9.85,2:03.37,1,9.87,2:02.92,2,9.77,2:02.97
5,10.11,2:13.09,7,10.56,2:14.12,4,9.76,,3,9.80,2:12.93,6,9.78,2:13.15,1,9.83,2:12.75,2,9.85,2:12.82
5,23.75,2:36.84,3,11.43,2:25.55,7,25.70,,4,21.43,2:34.36,2,10.84,2:23.99,1,10.09,2:22.84,6,24.89,2:37.71
