Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Jessica HEWITT POSITION,Jessica HEWITT LAP TIME,Jessica HEWITT ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME
4,8.95,8.95,7,9.17,9.17,5,9.01,9.01,6,9.10,9.10,1,8.74,8.74,3,8.81,8.81,2,8.78,8.78
3,12.57,21.52,5,12.55,21.72,6,12.83,21.84,7,12.77,21.87,2,12.75,21.49,4,12.79,21.60,1,12.59,21.37
2,11.59,33.11,7,11.55,33.27,4,11.33,33.17,6,11.39,33.26,5,11.76,33.25,3,11.52,33.12,1,11.70,33.07
3,11.00,44.11,5,11.04,44.31,6,11.26,44.43,4,10.97,44.23,7,11.26,44.51,2,10.85,43.97,1,10.80,43.87
3,11.41,55.52,5,11.41,55.72,7,11.38,55.81,4,11.40,55.63,6,11.29,55.80,2,11.45,55.42,1,11.42,55.29
1,10.65,1:06.17,6,10.86,1:06.58,7,10.85,1:06.66,5,10.85,1:06.48,2,10.43,1:06.23,4,10.99,1:06.41,3,11.04,1:06.33
1,10.91,1:17.08,6,10.94,1:17.52,7,10.92,1:17.58,2,10.65,1:17.13,4,11.09,1:17.32,5,11.00,1:17.41,3,10.89,1:17.22
2,10.41,1:27.49,6,10.28,1:27.80,7,10.34,1:27.92,1,10.27,1:27.40,4,10.33,1:27.65,5,10.27,1:27.68,3,10.34,1:27.56
1,9.94,1:37.43,5,10.01,1:37.81,7,10.09,1:38.01,3,10.16,1:37.56,6,10.27,1:37.92,2,9.76,1:37.44,4,10.15,1:37.71
2,9.84,1:47.27,5,9.75,1:47.56,7,9.72,1:47.73,3,9.81,1:47.37,6,9.73,1:47.65,1,9.75,1:47.19,4,9.75,1:47.46
2,10.16,1:57.43,4,10.07,1:57.63,7,10.21,1:57.94,5,10.32,1:57.69,6,10.15,1:57.80,1,10.15,1:57.34,3,10.12,1:57.58
2,10.21,2:07.64,3,10.09,2:07.72,7,10.28,2:08.22,6,10.48,2:08.17,5,10.09,2:07.89,1,10.17,2:07.51,4,10.17,2:07.75
2,9.84,2:17.48,3,9.89,2:17.61,6,10.20,2:18.42,7,10.71,2:18.88,5,10.02,2:17.91,1,9.92,2:17.43,4,10.07,2:17.82
1,9.62,2:27.098,6,40.44,2:58.041,4,10.67,2:29.082,5,10.79,2:29.667,3,10.12,2:28.022,0,,PEN,2,9.99,2:27.808
