SIMON_FALSCH Jeffrey POSITION,SIMON_FALSCH Jeffrey LAP TIME,SIMON_FALSCH Jeffrey ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME
2,7.18,7.18,1,7.02,7.02,3,7.36,7.36,4,7.62,7.62
2,9.13,16.31,1,9.13,16.15,3,9.26,16.62,4,9.26,16.88
1,8.70,25.01,2,8.88,25.03,3,8.97,25.59,4,8.79,25.67
1,8.84,33.85,2,9.06,34.09,3,9.16,34.75,4,9.18,34.85
1,9.23,43.072,2,9.31,43.398,3,9.40,44.144,4,9.40,44.247
