Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Kyle UYEHARA POSITION,Kyle UYEHARA LAP TIME,Kyle UYEHARA ELAPSED TIME,Asen YORDANOV POSITION,Asen YORDANOV LAP TIME,Asen YORDANOV ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME
2,7.29,7.29,1,7.16,7.16,4,7.43,7.43,3,7.40,7.40
1,9.12,16.41,2,9.30,16.46,4,9.26,16.69,3,9.12,16.52
1,9.05,25.46,3,9.26,25.72,4,9.10,25.79,2,9.06,25.58
2,8.88,34.34,4,9.82,35.54,3,9.09,34.88,1,8.73,34.31
2,9.16,43.497,4,12.74,48.274,3,9.76,44.636,1,8.99,43.295
