LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Dmitry VASILENKO POSITION,Dmitry VASILENKO LAP TIME,Dmitry VASILENKO ELAPSED TIME,Jean-Francois MONETTE POSITION,Jean-Francois MONETTE LAP TIME,Jean-Francois MONETTE ELAPSED TIME
2,13.635,13.635,4,13.911,13.911,3,13.874,13.874,1,13.393,13.393
1,9.952,23.587,4,10.084,23.995,3,9.971,23.845,2,10.212,23.604
1,10.078,33.665,4,9.967,33.961,2,9.945,33.790,3,10.206,33.809
1,9.735,43.399,4,9.624,43.585,3,9.643,43.432,2,9.600,43.409
2,9.494,52.893,3,9.402,52.987,4,9.587,53.019,1,9.129,52.538
2,9.295,1:02.188,3,9.292,1:02.278,4,9.340,1:02.359,1,9.381,1:01.918
2,9.273,1:11.460,3,9.356,1:11.634,4,9.341,1:11.700,1,9.359,1:11.277
2,9.663,1:21.123,3,9.494,1:21.128,4,9.532,1:21.231,1,9.559,1:20.835
1,9.67,1:30.790,3,9.84,1:30.965,4,9.82,1:31.045,2,10.02,1:30.849
