Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Jonathan GUILMETTE POSITION,Jonathan GUILMETTE LAP TIME,Jonathan GUILMETTE ELAPSED TIME,Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Nikolay STANCHEV POSITION,Nikolay STANCHEV LAP TIME,Nikolay STANCHEV ELAPSED TIME,KIM Hyun-Kon POSITION,KIM Hyun-Kon LAP TIME,KIM Hyun-Kon ELAPSED TIME
6,8.168,8.168,2,7.612,7.612,3,7.709,7.709,5,8.100,8.100,4,7.966,7.966,1,7.578,7.578
4,11.047,19.215,6,11.717,19.328,2,11.398,19.107,5,11.200,19.299,3,11.192,19.157,1,11.360,18.937
3,10.571,29.785,4,10.515,29.843,1,10.277,29.383,6,10.846,30.145,5,10.941,30.098,2,10.576,29.513
4,10.545,40.330,3,10.420,40.262,1,10.602,39.984,5,10.429,40.574,6,10.537,40.634,2,10.518,40.030
3,10.673,51.002,5,10.923,51.185,2,10.951,50.935,6,10.616,51.190,4,10.502,51.135,1,10.778,50.808
4,10.168,1:01.169,3,9.953,1:01.137,2,10.172,1:01.106,6,10.389,1:01.578,5,10.424,1:01.558,1,10.161,1:00.968
4,10.041,1:11.210,3,10.056,1:11.193,1,9.808,1:10.914,5,9.704,1:11.282,6,9.775,1:11.332,2,10.049,1:11.017
3,9.905,1:21.115,2,9.883,1:21.075,1,9.972,1:20.885,6,10.458,1:21.740,5,10.247,1:21.579,4,10.119,1:21.136
4,9.931,1:31.045,3,9.951,1:31.026,1,9.877,1:30.761,5,9.678,1:31.418,6,9.900,1:31.478,2,9.842,1:30.977
3,9.600,1:40.645,4,9.673,1:40.698,1,9.669,1:40.430,5,9.680,1:41.097,6,9.869,1:41.346,2,9.536,1:40.512
4,9.984,1:50.628,3,9.630,1:50.328,1,9.648,1:50.077,5,10.038,1:51.134,6,10.404,1:51.750,2,9.589,1:50.101
3,9.706,2:00.334,2,9.499,1:59.826,4,10.399,2:00.476,5,10.141,2:01.274,6,10.863,2:02.612,1,9.674,1:59.775
3,10.071,2:10.404,1,9.416,2:09.242,4,10.882,2:11.358,5,11.016,2:12.290,6,12.000,2:14.611,2,9.538,2:09.313
3,10.81,2:21.206,1,10.23,2:19.470,4,11.53,2:22.883,5,11.53,2:23.814,6,13.78,2:28.384,2,10.20,2:19.504
