Marta WOJCIK POSITION,Marta WOJCIK LAP TIME,Marta WOJCIK ELAPSED TIME,WALTER Bianca POSITION,WALTER Bianca LAP TIME,WALTER Bianca ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME
1,7.56,7.56,4,8.20,8.20,3,7.95,7.95,2,7.69,7.69
2,9.88,17.44,4,10.08,18.28,3,9.71,17.66,1,9.65,17.34
2,9.48,26.92,4,9.16,27.44,3,9.34,27.00,1,9.34,26.68
2,9.70,36.62,4,9.44,36.88,3,9.66,36.66,1,9.41,36.09
0,,PEN,2,9.98,46.855,3,35.67,1:12.321,1,9.63,45.713
