Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,Nurlibek BEISEEV POSITION,Nurlibek BEISEEV LAP TIME,Nurlibek BEISEEV ELAPSED TIME,LIAO Wei-Cheng POSITION,LIAO Wei-Cheng LAP TIME,LIAO Wei-Cheng ELAPSED TIME,JUNG Hok Young POSITION,JUNG Hok Young LAP TIME,JUNG Hok Young ELAPSED TIME,SONG Jian POSITION,SONG Jian LAP TIME,SONG Jian ELAPSED TIME
1,12.56,12.56,5,13.44,13.44,2,12.67,12.67,3,12.81,12.81,4,12.92,12.92
1,9.39,21.95,5,9.03,22.47,3,9.52,22.19,2,9.37,22.18,4,9.41,22.33
1,9.00,30.95,4,8.95,31.42,5,9.55,31.74,2,8.94,31.12,3,9.01,31.34
1,9.02,39.97,4,8.93,40.35,5,9.52,41.26,2,8.96,40.08,3,8.90,40.24
2,9.17,49.14,4,8.95,49.30,5,9.94,51.20,1,8.92,49.00,3,8.91,49.15
3,9.18,58.32,4,9.12,58.42,5,10.49,1:01.69,1,9.03,58.03,2,8.99,58.14
3,9.37,1:07.69,4,9.34,1:07.76,5,11.22,1:12.91,1,9.16,1:07.19,2,9.17,1:07.31
4,10.01,1:17.70,3,9.49,1:17.25,5,11.64,1:24.55,1,9.24,1:16.43,2,9.28,1:16.59
4,10.66,1:28.36,3,9.79,1:27.04,5,11.68,1:36.23,1,9.42,1:25.85,2,9.49,1:26.08
