Matej PEDERSON POSITION,Matej PEDERSON LAP TIME,Matej PEDERSON ELAPSED TIME,Gleb IVCHENKO POSITION,Gleb IVCHENKO LAP TIME,Gleb IVCHENKO ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,Hazim SHAHRUM POSITION,Hazim SHAHRUM LAP TIME,Hazim SHAHRUM ELAPSED TIME,Bor Luka URLEP POSITION,Bor Luka URLEP LAP TIME,Bor Luka URLEP ELAPSED TIME,NEMIRO Nikita POSITION,NEMIRO Nikita LAP TIME,NEMIRO Nikita ELAPSED TIME
4,14.92,14.92,7,15.48,15.48,1,14.43,14.43,5,15.09,15.09,6,15.11,15.11,2,14.65,14.65,3,14.79,14.79
7,17.71,32.63,5,16.99,32.47,1,17.38,31.81,4,17.19,32.28,6,17.44,32.55,2,17.31,31.96,3,17.38,32.17
7,14.65,47.28,6,14.57,47.04,1,14.60,46.41,4,14.49,46.77,5,14.34,46.89,2,14.60,46.56,3,14.57,46.74
7,12.67,59.95,2,12.45,59.49,1,12.96,59.37,4,12.79,59.56,6,12.93,59.82,2,12.93,59.49,5,12.88,59.62
7,11.11,1:11.06,2,11.23,1:10.72,4,11.45,1:10.82,3,11.25,1:10.81,5,11.11,1:10.93,5,11.44,1:10.93,1,11.00,1:10.62
5,10.51,1:21.57,6,10.89,1:21.61,7,11.07,1:21.89,1,10.28,1:21.09,2,10.31,1:21.24,4,10.57,1:21.50,3,10.79,1:21.41
5,9.58,1:31.15,6,9.75,1:31.36,7,9.57,1:31.46,1,9.56,1:30.65,2,9.62,1:30.86,4,9.58,1:31.08,3,9.52,1:30.93
2,9.05,1:40.20,4,9.17,1:40.53,6,9.20,1:40.66,1,9.46,1:40.11,7,10.07,1:40.93,5,9.50,1:40.58,3,9.48,1:40.41
2,9.44,1:49.64,5,9.32,1:49.85,4,9.16,1:49.82,1,9.44,1:49.55,7,9.74,1:50.67,6,9.64,1:50.22,3,9.35,1:49.76
3,9.65,1:59.29,5,9.74,1:59.59,1,9.34,1:59.16,2,9.64,1:59.19,7,9.61,2:00.28,6,9.67,1:59.89,4,9.72,1:59.48
2,9.49,2:08.78,4,9.53,2:09.12,1,9.54,2:08.70,3,9.77,2:08.96,7,9.70,2:09.98,6,9.83,2:09.72,5,9.65,2:09.13
1,9.45,2:18.23,3,9.72,2:18.84,2,9.60,2:18.30,4,9.95,2:18.91,7,10.01,2:19.99,6,10.13,2:19.85,5,10.00,2:19.13
1,9.59,2:27.82,3,9.77,2:28.61,2,9.74,2:28.04,5,10.60,2:29.51,7,10.36,2:30.35,6,10.16,2:30.01,4,9.92,2:29.05
1,9.87,2:37.694,2,9.63,2:38.244,3,10.33,2:38.376,5,10.58,2:40.097,7,10.59,2:40.946,6,10.11,2:40.127,4,10.29,2:39.346
