Sarah LINDSAY POSITION,Sarah LINDSAY LAP TIME,Sarah LINDSAY ELAPSED TIME,Anne MALTAIS POSITION,Anne MALTAIS LAP TIME,Anne MALTAIS ELAPSED TIME,Evgenia RADANOVA POSITION,Evgenia RADANOVA LAP TIME,Evgenia RADANOVA ELAPSED TIME,Susanne RUDOLPH POSITION,Susanne RUDOLPH LAP TIME,Susanne RUDOLPH ELAPSED TIME
3,14.65,14.65,1,14.44,14.44,2,14.51,14.51,4,14.83,14.83
3,11.07,25.73,1,11.01,25.45,2,11.02,25.54,4,11.07,25.91
3,11.43,37.16,1,11.33,36.79,2,11.58,37.13,4,11.42,37.33
3,11.07,48.23,1,11.17,47.96,2,11.02,48.16,4,11.06,48.39
3,10.60,58.84,1,10.60,58.56,2,10.56,58.72,4,10.59,58.98
2,10.15,1:08.99,1,10.15,1:08.72,3,10.27,1:09.00,4,10.19,1:09.18
3,9.89,1:18.88,1,9.94,1:18.66,2,9.78,1:18.79,4,9.82,1:19.00
3,9.68,1:28.57,2,9.65,1:28.32,1,9.40,1:28.19,4,9.66,1:28.66
3,10.03,1:38.600,2,10.14,1:38.458,1,9.75,1:37.933,4,10.08,1:38.736
