Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
1,9.24,9.24,3,9.37,9.37,2,9.33,9.33,4,9.54,9.54,6,9.70,9.70,5,9.57,,7,9.82,9.82
2,12.42,21.66,5,12.51,21.88,6,12.60,21.93,7,12.56,22.10,4,12.07,21.77,3,12.11,,1,11.83,21.65
3,10.99,32.65,2,10.60,32.48,6,11.13,33.06,7,11.09,33.19,4,11.02,32.79,5,11.25,,1,10.71,32.36
3,10.56,43.21,2,10.64,43.12,6,10.52,43.58,7,10.54,43.73,4,10.56,43.35,5,10.52,,1,10.67,43.03
2,10.50,53.71,4,10.70,53.82,1,10.12,53.70,7,10.36,54.09,6,10.72,54.07,5,10.49,,3,10.69,53.72
1,10.47,1:04.18,3,10.52,1:04.34,2,10.59,1:04.29,7,10.74,1:04.83,6,10.57,1:04.64,5,10.55,,4,10.63,1:04.35
1,10.35,1:14.53,3,10.38,1:14.72,2,10.35,1:14.64,7,10.31,1:15.14,6,10.36,1:15.00,5,10.42,,4,10.44,1:14.79
1,9.95,1:24.48,3,9.91,1:24.63,1,9.84,1:24.48,7,10.00,1:25.14,6,10.01,1:25.01,5,9.83,,3,9.84,1:24.63
2,9.53,1:34.01,7,18.96,1:43.59,1,9.44,1:33.92,6,9.28,1:34.42,4,9.31,1:34.32,3,9.45,,5,9.78,1:34.41
2,9.44,1:43.45,7,15.99,1:59.58,1,9.42,1:43.34,5,9.39,1:43.81,4,9.38,1:43.70,3,9.37,,6,9.52,1:43.93
2,9.31,1:52.76,7,14.91,2:14.49,1,9.31,1:52.65,5,9.25,1:53.06,4,9.26,1:52.96,3,9.31,,6,9.26,1:53.19
2,9.23,2:01.99,7,11.88,2:26.37,1,9.19,2:01.84,5,9.27,2:02.33,4,9.14,2:02.10,3,9.22,,6,9.55,2:02.74
6,21.86,2:23.85,7,12.00,2:38.37,1,9.01,2:10.85,3,9.34,2:11.67,2,9.45,2:11.55,5,14.70,,4,10.32,2:13.06
6,20.71,2:44.56,6,17.30,2:55.631,1,9.20,2:20.05,3,9.62,2:21.29,2,9.48,2:21.03,5,17.93,,4,11.78,2:24.84
