DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME
1,13.52,13.52,3,13.89,13.89,2,13.68,13.68,4,14.02,14.02,5,14.21,14.21
1,10.04,23.56,3,9.89,23.78,2,10.00,23.68,4,9.86,23.88,5,9.76,23.97
1,10.27,33.83,3,10.25,34.03,2,10.28,33.96,4,10.26,34.14,5,10.28,34.25
1,10.30,44.13,3,10.27,44.30,2,10.26,44.22,4,10.27,44.41,4,10.16,44.41
1,10.04,54.17,3,10.10,54.40,2,10.08,54.30,5,10.21,54.62,4,10.09,54.50
3,9.79,1:03.96,2,9.50,1:03.90,1,9.57,1:03.87,5,9.47,1:04.09,4,9.48,1:03.98
5,10.26,1:14.22,1,9.24,1:13.14,2,9.38,1:13.25,4,9.31,1:13.40,2,9.27,1:13.25
5,10.05,1:24.27,1,8.88,1:22.02,4,9.37,1:22.62,3,9.05,1:22.45,2,8.90,1:22.15
5,10.27,1:34.54,1,8.77,1:30.79,4,9.44,1:32.06,3,9.25,1:31.70,2,8.73,1:30.88
