Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
1,6.71,6.71,4,7.22,7.22,2,6.94,6.94,3,7.17,7.17
1,8.81,15.52,4,9.14,16.36,2,8.74,15.68,3,8.52,15.69
1,8.42,23.94,4,8.71,25.07,3,8.42,24.10,2,8.34,24.03
2,8.67,32.61,4,8.83,33.90,3,8.59,32.69,1,8.52,32.55
2,8.79,41.40,4,9.17,43.074,3,8.76,41.45,1,8.73,41.28
