Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Dmitry MIGUNOV POSITION,Dmitry MIGUNOV LAP TIME,Dmitry MIGUNOV ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME
2,6.95,6.95,1,6.79,6.79,4,7.10,7.10,3,7.03,7.03
1,8.72,15.67,4,24.55,31.34,3,9.09,16.19,2,9.06,16.09
1,8.29,23.96,4,26.20,57.54,2,8.40,24.59,3,8.64,24.73
1,8.42,32.38,4,13.55,1:11.09,2,8.63,33.22,3,8.68,33.41
1,8.50,40.876,4,12.54,1:23.625,2,8.77,41.981,3,8.85,42.258
