HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
3,15.65,15.65,2,15.56,15.56,1,15.52,15.52,4,15.74,15.74
3,12.08,27.73,2,12.05,27.61,1,11.88,27.40,4,12.12,27.86
3,11.11,38.84,2,11.22,38.83,1,11.27,38.67,4,11.07,38.93
4,10.19,49.03,2,10.03,48.86,1,10.10,48.77,3,10.01,48.94
4,10.32,59.35,2,10.30,59.16,1,10.31,59.08,3,10.30,59.24
4,10.60,1:09.95,2,10.57,1:09.73,1,10.64,1:09.72,3,10.60,1:09.84
3,9.86,1:19.81,1,9.95,1:19.68,4,10.53,1:20.25,2,9.92,1:19.76
3,9.82,1:29.63,1,9.75,1:29.43,4,10.71,1:30.96,2,9.71,1:29.47
3,9.54,1:39.167,1,9.58,1:39.002,4,11.21,1:42.163,2,9.58,1:39.049
