Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,Hazar KARAGOL POSITION,Hazar KARAGOL LAP TIME,Hazar KARAGOL ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME
3,8.35,8.35,4,8.51,8.51,2,8.21,8.21,1,8.02,8.02,6,8.89,8.89,5,8.83,8.83
1,10.86,19.21,5,10.99,19.50,4,11.09,19.30,2,11.21,19.23,6,10.76,19.65,2,10.40,19.23
1,10.22,29.43,5,10.39,29.89,4,10.47,29.77,3,10.43,29.66,6,10.31,29.96,2,10.34,29.57
2,10.16,39.59,1,9.68,39.57,5,10.15,39.92,4,10.17,39.83,6,10.09,40.05,3,10.15,39.72
2,9.81,49.40,1,9.74,49.31,5,9.71,49.63,4,9.69,49.52,6,9.78,49.83,3,9.69,49.41
3,9.72,59.12,1,9.59,58.90,5,9.69,59.32,4,9.68,59.20,6,9.68,59.51,2,9.61,59.02
3,9.61,1:08.73,1,9.61,1:08.51,5,9.64,1:08.96,4,9.62,1:08.82,6,9.63,1:09.14,2,9.63,1:08.65
3,9.44,1:18.17,1,9.48,1:17.99,5,9.44,1:18.40,4,9.46,1:18.28,6,9.68,1:18.82,2,9.44,1:18.09
3,9.42,1:27.59,1,9.41,1:27.40,5,9.44,1:27.84,4,9.43,1:27.71,6,10.25,1:29.07,2,9.41,1:27.50
1,8.99,1:36.58,2,9.21,1:36.61,5,9.28,1:37.12,4,9.20,1:36.91,6,11.38,1:40.45,3,9.30,1:36.80
1,8.96,1:45.54,2,9.07,1:45.68,5,9.32,1:46.44,3,8.95,1:45.86,6,11.81,1:52.26,4,9.07,1:45.87
1,9.00,1:54.54,2,9.06,1:54.74,5,9.58,1:56.02,3,8.93,1:54.79,6,13.10,2:05.36,4,9.18,1:55.05
1,9.15,2:03.69,3,9.21,2:03.95,5,10.03,2:06.05,2,8.98,2:03.77,6,11.77,2:17.13,4,9.47,2:04.52
1,9.41,2:13.10,3,9.47,2:13.42,5,10.43,2:16.48,2,9.38,2:13.15,6,11.78,2:28.91,4,10.00,2:14.52
