Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Siarhei YAKUSHKOU POSITION,Siarhei YAKUSHKOU LAP TIME,Siarhei YAKUSHKOU ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Istvan GAL ORAVECZ POSITION,Istvan GAL ORAVECZ LAP TIME,Istvan GAL ORAVECZ ELAPSED TIME
3,8.76,8.76,6,9.47,9.47,4,8.86,8.86,2,8.64,8.64,1,8.53,8.53,5,9.02,9.02
3,13.48,22.24,6,13.16,22.63,4,13.54,22.40,2,13.48,22.12,1,13.48,22.01,5,13.49,22.51
3,13.88,36.12,6,13.82,36.45,4,13.86,36.26,2,13.87,35.99,1,13.84,35.85,5,13.85,36.36
3,13.54,49.66,4,13.31,49.76,5,13.59,49.85,2,13.53,49.52,1,13.61,49.46,6,13.67,50.03
4,10.94,1:00.60,3,10.72,1:00.48,5,10.88,1:00.73,2,10.84,1:00.36,1,10.79,1:00.25,6,10.84,1:00.87
4,11.54,1:12.14,3,11.52,1:12.00,5,11.53,1:12.26,2,11.54,1:11.90,1,11.50,1:11.75,6,11.50,1:12.37
3,11.10,1:23.24,4,11.24,1:23.24,5,11.23,1:23.49,2,11.18,1:23.08,1,11.23,1:22.98,6,11.25,1:23.62
4,9.94,1:33.18,2,9.68,1:32.92,6,9.91,1:33.40,1,9.73,1:32.81,3,10.07,1:33.05,5,9.75,1:33.37
4,9.80,1:42.98,2,9.74,1:42.66,6,9.89,1:43.29,1,9.85,1:42.66,3,9.82,1:42.87,5,9.81,1:43.18
4,9.27,1:52.25,1,9.04,1:51.70,6,9.66,1:52.95,2,9.13,1:51.79,3,9.03,1:51.90,5,9.65,1:52.83
4,9.85,2:02.10,1,9.27,2:00.97,6,10.14,2:03.09,2,9.24,2:01.03,3,9.26,2:01.16,5,10.12,2:02.95
4,10.32,2:12.42,1,9.24,2:10.21,6,10.66,2:13.75,2,9.45,2:10.48,3,9.42,2:10.58,5,10.65,2:13.60
4,10.60,2:23.02,1,9.33,2:19.54,6,10.90,2:24.65,3,9.46,2:19.94,2,9.34,2:19.92,5,10.96,2:24.56
4,10.94,2:33.953,1,9.78,2:29.315,5,11.44,2:36.084,3,10.18,2:30.116,2,9.63,2:29.542,6,12.26,2:36.812
