Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME
4,13.95,13.95,2,13.77,13.77,1,13.69,13.69,3,13.86,13.86
4,10.52,24.47,2,10.45,24.22,1,10.41,24.10,3,10.48,24.34
4,10.21,34.68,2,10.24,34.46,1,10.28,34.38,3,10.24,34.58
4,10.17,44.85,2,10.14,44.60,1,10.10,44.48,3,10.13,44.71
4,9.76,54.61,2,9.91,54.51,1,9.94,54.42,3,9.89,54.60
3,9.27,1:03.88,2,9.27,1:03.78,1,9.21,1:03.63,4,9.77,1:04.37
3,9.06,1:12.94,2,9.08,1:12.86,1,9.14,1:12.77,4,9.29,1:13.66
3,9.23,1:22.17,2,9.21,1:22.07,1,9.16,1:21.93,4,9.59,1:23.25
0,,PEN,1,9.00,1:31.062,2,9.34,1:31.263,3,10.00,1:33.245
