Jeroen SONNEVELD POSITION,Jeroen SONNEVELD LAP TIME,Jeroen SONNEVELD ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,CASSINELLI Andrea POSITION,CASSINELLI Andrea LAP TIME,CASSINELLI Andrea ELAPSED TIME,Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
4,13.13,13.13,3,12.93,12.93,5,13.28,13.28,1,12.78,12.78,2,12.91,12.91
2,9.45,22.58,4,9.88,22.81,5,9.59,22.87,1,9.70,22.48,3,9.67,22.58
3,9.62,32.20,4,9.53,32.34,5,9.59,32.46,1,9.42,31.90,2,9.46,32.04
3,9.38,41.58,4,9.36,41.70,5,9.35,41.81,1,9.51,41.41,2,9.42,41.46
2,9.27,50.85,4,9.38,51.08,5,9.29,51.10,3,9.49,50.90,1,9.27,50.73
2,9.34,1:00.19,5,41.16,1:32.24,3,10.58,1:01.68,4,33.63,1:24.53,1,9.22,59.95
2,9.61,1:09.80,4,16.29,1:48.53,3,10.86,1:12.54,5,24.01,1:48.54,1,9.25,1:09.20
2,10.09,1:19.89,5,14.31,2:02.84,3,11.04,1:23.58,4,11.91,2:00.45,1,10.06,1:19.26
2,10.36,1:30.243,4,13.28,2:16.117,0,,PEN,3,11.74,2:12.183,1,10.08,1:29.331
