Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Christiaan BOKKERINK POSITION,Christiaan BOKKERINK LAP TIME,Christiaan BOKKERINK ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,Ievgen GUTENOV POSITION,Ievgen GUTENOV LAP TIME,Ievgen GUTENOV ELAPSED TIME,Andrey STARZHINSKIY POSITION,Andrey STARZHINSKIY LAP TIME,Andrey STARZHINSKIY ELAPSED TIME,de Xun CHEW POSITION,de Xun CHEW LAP TIME,de Xun CHEW ELAPSED TIME
4,8.75,8.75,6,8.83,8.83,5,8.79,8.79,3,8.63,8.63,1,8.48,8.48,2,8.62,8.62
2,12.12,20.87,1,11.93,20.76,5,12.29,21.08,3,12.26,20.89,4,12.50,20.98,6,12.84,21.46
3,10.96,31.83,1,10.98,31.74,5,10.88,31.96,2,10.89,31.78,4,10.98,31.96,6,11.83,33.29
3,10.55,42.38,2,10.58,42.32,5,10.52,42.48,1,10.46,42.24,4,10.46,42.42,6,12.61,45.90
3,10.55,52.93,2,10.52,52.84,5,10.69,53.17,1,10.53,52.77,4,10.64,53.06,6,13.22,59.12
3,10.28,1:03.21,1,10.17,1:03.01,5,10.33,1:03.50,2,10.33,1:03.10,4,10.30,1:03.36,6,13.57,1:12.69
3,10.18,1:13.39,1,10.22,1:13.23,5,10.14,1:13.64,2,10.23,1:13.33,4,10.05,1:13.41,6,14.29,1:26.98
3,10.09,1:23.48,2,10.14,1:23.37,5,10.07,1:23.71,1,9.95,1:23.28,4,10.17,1:23.58,6,14.09,1:41.07
1,9.65,1:33.13,3,9.98,1:33.35,5,10.04,1:33.75,2,9.99,1:33.27,4,10.02,1:33.60,6,14.66,1:55.73
2,9.89,1:43.02,1,9.65,1:43.00,5,10.21,1:43.96,3,9.86,1:43.13,4,9.67,1:43.27,6,14.03,2:09.76
2,9.48,1:52.50,1,9.39,1:52.39,5,10.52,1:54.48,3,9.58,1:52.71,4,9.55,1:52.82,6,15.50,2:25.26
2,9.28,2:01.78,1,9.23,2:01.62,5,10.89,2:05.37,3,9.31,2:02.02,4,9.39,2:02.21,6,14.81,2:40.07
2,9.35,2:11.13,1,9.38,2:11.00,5,11.20,2:16.57,3,9.43,2:11.45,4,9.64,2:11.85,6,14.63,2:54.70
2,9.65,2:20.772,1,9.58,2:20.575,5,11.25,2:27.813,3,10.02,2:21.466,4,10.29,2:22.138,6,14.39,3:09.086
