Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Matteo COMPAGNONI POSITION,Matteo COMPAGNONI LAP TIME,Matteo COMPAGNONI ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME
2,13.28,13.28,1,13.27,13.27,3,13.28,13.28
3,10.48,23.76,1,10.09,23.36,2,10.23,23.51
3,9.50,33.26,1,9.66,33.02,2,9.61,33.12
3,9.70,42.96,1,9.76,42.78,2,9.77,42.89
3,9.70,52.66,1,9.66,52.44,2,9.67,52.56
2,9.51,1:02.17,1,9.67,1:02.11,3,9.63,1:02.19
1,9.38,1:11.55,3,9.78,1:11.89,2,9.48,1:11.67
1,9.04,1:20.59,3,9.37,1:21.26,2,9.00,1:20.67
2,9.30,1:29.883,3,9.83,1:31.081,1,9.21,1:29.873
