LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME
1,13.41,13.41,2,13.81,13.81,4,14.08,14.08,3,13.96,13.96
1,10.23,23.64,2,9.98,23.79,4,9.89,23.97,3,9.92,23.88
1,9.94,33.58,2,9.80,33.59,4,9.88,33.85,3,9.83,33.71
4,9.86,43.44,1,9.36,42.95,2,9.34,43.19,3,9.58,43.29
4,9.27,52.71,1,9.39,52.34,2,9.28,52.47,3,9.29,52.58
4,9.34,1:02.05,1,9.33,1:01.67,2,9.21,1:01.68,3,9.24,1:01.82
4,9.18,1:11.23,2,9.26,1:10.93,1,9.07,1:10.75,3,9.14,1:10.96
4,9.31,1:20.54,2,9.20,1:20.13,1,9.28,1:20.03,3,9.40,1:20.36
3,9.37,1:29.905,2,9.53,1:29.654,1,9.59,1:29.617,0,,PEN
