Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,Patrick DUFFY POSITION,Patrick DUFFY LAP TIME,Patrick DUFFY ELAPSED TIME
1,6.81,6.81,3,7.01,7.01,2,6.92,6.92,4,7.14,7.14
1,8.77,15.58,3,8.82,15.83,2,8.80,15.72,4,8.79,15.93
1,8.34,23.92,2,8.29,24.12,3,8.44,24.16,4,8.36,24.29
1,8.62,32.54,2,8.55,32.67,4,9.17,33.33,3,8.68,32.97
2,9.00,41.54,1,8.57,41.24,4,9.57,42.90,3,8.74,41.71
