Tom RIETZKE POSITION,Tom RIETZKE LAP TIME,Tom RIETZKE ELAPSED TIME,Necmettin Berk YETISKEN POSITION,Necmettin Berk YETISKEN LAP TIME,Necmettin Berk YETISKEN ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,KIKUCHI Kota POSITION,KIKUCHI Kota LAP TIME,KIKUCHI Kota ELAPSED TIME,Artem KHMELIVSKYI POSITION,Artem KHMELIVSKYI LAP TIME,Artem KHMELIVSKYI ELAPSED TIME
2,11.15,11.15,3,11.29,11.29,4,11.39,11.39,5,11.60,11.60,1,11.01,11.01
2,13.90,25.05,3,13.90,25.19,4,14.05,25.44,5,14.01,25.61,1,13.86,24.87
2,11.40,36.45,3,11.37,36.56,4,11.29,36.73,5,11.22,36.83,1,11.42,36.29
2,10.80,47.25,3,10.77,47.33,4,10.73,47.46,5,10.73,47.56,1,10.88,47.17
2,10.69,57.94,3,10.68,58.01,4,10.67,58.13,5,10.69,58.25,1,10.68,57.85
2,10.59,1:08.53,3,10.62,1:08.63,4,10.59,1:08.72,5,10.55,1:08.80,1,10.60,1:08.45
1,10.46,1:18.99,3,10.48,1:19.11,2,10.37,1:19.09,5,10.52,1:19.32,4,10.69,1:19.14
1,9.74,1:28.73,4,10.02,1:29.13,2,9.74,1:28.83,3,9.63,1:28.95,5,10.47,1:29.61
1,9.57,1:38.30,4,9.47,1:38.60,2,9.55,1:38.38,3,9.53,1:38.48,5,10.32,1:39.93
2,9.49,1:47.79,4,9.42,1:48.02,1,9.31,1:47.69,3,9.39,1:47.87,5,10.27,1:50.20
2,9.37,1:57.16,4,9.33,1:57.35,1,9.39,1:57.08,3,9.38,1:57.25,5,10.37,2:00.57
2,9.53,2:06.69,3,9.43,2:06.78,1,9.50,2:06.58,4,9.62,2:06.87,5,10.51,2:11.08
3,9.73,2:16.42,4,9.71,2:16.49,1,9.71,2:16.29,2,9.54,2:16.41,5,10.78,2:21.86
4,10.01,2:26.425,3,9.82,2:26.305,2,9.92,2:26.205,1,9.50,2:25.905,5,11.09,2:32.950
