DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,RUSNAKOVA Petra POSITION,RUSNAKOVA Petra LAP TIME,RUSNAKOVA Petra ELAPSED TIME,MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME
6,10.74,10.74,1,10.10,10.10,4,10.42,10.42,2,10.27,10.27,7,10.87,10.87,5,10.54,10.54,3,10.31,10.31
7,15.11,25.85,1,15.12,25.22,4,15.01,25.43,5,15.27,25.54,2,14.38,25.25,6,15.15,25.69,3,15.10,25.41
7,12.72,38.57,4,13.05,38.27,5,12.87,38.30,6,12.84,38.38,1,12.89,38.14,3,12.57,38.26,2,12.80,38.21
7,12.84,51.41,4,12.81,51.08,6,12.93,51.23,5,12.76,51.14,2,12.69,50.83,1,12.50,50.76,3,12.76,50.97
2,11.32,1:02.73,5,11.84,1:02.92,7,12.04,1:03.27,6,11.98,1:03.12,3,11.95,1:02.78,1,11.92,1:02.68,4,11.94,1:02.91
1,10.11,1:12.84,5,10.15,1:13.07,7,10.02,1:13.29,6,10.04,1:13.16,4,10.23,1:13.01,3,10.25,1:12.93,2,10.01,1:12.92
3,10.15,1:22.99,2,9.86,1:22.93,6,9.86,1:23.15,7,10.09,1:23.25,5,10.13,1:23.14,4,10.13,1:23.06,1,9.99,1:22.91
4,9.95,1:32.94,1,9.81,1:32.74,3,9.74,1:32.89,7,9.98,1:33.23,6,9.99,1:33.13,5,9.99,1:33.05,2,9.92,1:32.83
3,9.88,1:42.82,1,9.90,1:42.64,6,10.16,1:43.05,7,9.84,1:43.07,5,9.87,1:43.00,4,9.88,1:42.93,2,9.89,1:42.72
2,9.80,1:52.62,1,9.92,1:52.56,7,10.09,1:53.14,6,9.93,1:53.00,5,9.90,1:52.90,4,9.85,1:52.78,3,9.91,1:52.63
1,9.56,2:02.18,2,9.75,2:02.31,7,9.87,2:03.01,6,9.81,2:02.81,5,9.74,2:02.64,4,9.72,2:02.50,3,9.79,2:02.42
1,9.64,2:11.82,2,9.63,2:11.94,7,9.86,2:12.87,6,9.94,2:12.75,5,9.60,2:12.24,4,9.55,2:12.05,3,9.60,2:12.02
1,9.53,2:21.35,2,9.58,2:21.52,6,10.19,2:23.06,7,10.53,2:23.28,5,9.89,2:22.13,4,9.66,2:21.71,3,9.52,2:21.54
1,9.63,2:30.98,3,9.86,2:31.38,6,10.74,2:33.807,7,11.58,2:34.861,5,10.45,2:32.58,4,9.87,2:31.58,2,9.55,2:31.09
