Hironobu MURATAKE POSITION,Hironobu MURATAKE LAP TIME,Hironobu MURATAKE ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME
2,7.09,7.09,3,7.20,7.20,4,7.31,7.31,1,6.96,6.96,5,7.32,7.32
2,9.02,16.11,4,9.04,16.24,5,9.23,16.54,1,8.82,15.78,3,8.90,16.22
3,8.50,24.61,4,8.86,25.10,5,8.64,25.18,1,8.40,24.18,2,8.38,24.60
3,8.80,33.41,4,8.71,33.81,5,8.83,34.01,1,8.51,32.69,2,8.41,33.01
3,8.99,42.40,4,8.75,42.56,5,8.94,42.95,1,8.64,41.33,2,8.47,41.48
