KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME
1,15.45,15.45,2,15.52,15.52,4,15.74,15.74,3,15.53,15.53
2,12.04,27.49,3,12.02,27.54,1,11.52,27.26,4,12.13,27.66
2,11.33,38.82,4,11.43,38.97,1,11.37,38.63,3,11.24,38.90
2,11.84,50.66,4,11.92,50.89,1,11.80,50.43,3,11.87,50.77
2,10.80,1:01.46,3,10.60,1:01.49,1,10.99,1:01.42,4,10.91,1:01.68
2,9.57,1:11.03,3,9.65,1:11.14,1,9.46,1:10.88,4,9.55,1:11.23
2,9.56,1:20.59,3,9.51,1:20.65,1,9.59,1:20.47,4,9.52,1:20.75
1,9.34,1:29.93,3,9.46,1:30.11,2,9.56,1:30.03,4,9.43,1:30.18
1,9.07,1:38.996,3,9.30,1:39.407,2,9.27,1:39.294,4,9.64,1:39.812
