CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME
4,13.45,13.45,2,13.27,13.27,3,13.30,13.30,1,13.18,13.18
4,10.06,23.51,2,10.02,23.29,1,9.82,23.12,3,10.19,23.37
2,9.43,32.94,3,9.66,32.95,1,9.73,32.85,4,9.61,32.98
3,9.64,42.58,2,9.52,42.47,1,9.52,42.37,4,10.22,43.20
3,9.90,52.48,2,9.88,52.35,1,9.85,52.22,4,10.09,53.29
3,9.67,1:02.15,2,9.68,1:02.03,1,9.67,1:01.89,4,10.06,1:03.35
3,9.61,1:11.76,2,9.62,1:11.65,1,9.62,1:11.51,4,10.63,1:13.98
1,9.35,1:21.11,3,9.61,1:21.26,2,9.61,1:21.12,4,11.19,1:25.17
1,9.38,1:30.490,3,9.75,1:31.004,2,9.75,1:30.866,4,11.82,1:36.990
