Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,WANG Xinyue POSITION,WANG Xinyue LAP TIME,WANG Xinyue ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Caroline TRUCHON POSITION,Caroline TRUCHON LAP TIME,Caroline TRUCHON ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME
2,13.20,13.20,4,13.50,13.50,1,13.17,13.17,3,13.30,13.30,5,13.59,13.59
1,10.13,23.33,5,10.16,23.66,2,10.28,23.45,3,10.25,23.55,4,10.03,23.62
2,10.30,33.63,5,10.35,34.01,1,10.04,33.49,3,10.19,33.74,4,10.23,33.85
2,9.90,43.53,5,9.86,43.87,1,9.98,43.47,3,9.89,43.63,4,9.87,43.72
2,9.97,53.50,5,9.94,53.81,1,9.93,53.40,3,9.97,53.60,4,9.96,53.68
2,9.84,1:03.34,5,9.88,1:03.69,1,9.86,1:03.26,3,9.85,1:03.45,4,9.87,1:03.55
3,10.04,1:13.38,5,9.82,1:13.51,2,10.04,1:13.30,4,9.99,1:13.44,1,9.55,1:13.10
5,11.31,1:24.69,3,10.21,1:23.72,2,10.23,1:23.53,4,10.34,1:23.78,1,9.77,1:22.87
5,12.16,1:36.847,4,10.28,1:33.999,2,10.33,1:33.852,3,10.08,1:33.855,1,10.10,1:32.965
