Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,YEO Jun-Hyung POSITION,YEO Jun-Hyung LAP TIME,YEO Jun-Hyung ELAPSED TIME,Vitaly MIKHEENKOV POSITION,Vitaly MIKHEENKOV LAP TIME,Vitaly MIKHEENKOV ELAPSED TIME,SUI Bao Ku POSITION,SUI Bao Ku LAP TIME,SUI Bao Ku ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,Michele ANTONIOLI POSITION,Michele ANTONIOLI LAP TIME,Michele ANTONIOLI ELAPSED TIME
5,10.173,10.173,2,9.768,9.768,7,10.386,10.386,4,9.978,9.978,3,9.832,9.832,1,9.366,9.366,6,10.211,10.211
6,13.383,23.556,3,13.545,23.313,7,13.271,23.657,4,13.377,23.355,2,13.430,23.262,1,13.642,23.007,5,13.254,23.465
7,11.330,34.885,3,10.853,34.165,1,9.777,33.433,4,10.853,34.207,5,11.307,34.569,2,10.851,33.858,6,11.220,34.685
3,8.754,43.638,5,9.667,43.831,1,9.685,43.118,4,9.509,43.716,6,9.725,44.293,2,9.420,43.278,7,9.674,44.358
7,10.888,54.526,3,10.406,54.236,2,10.860,53.977,4,10.525,54.240,6,9.960,54.253,1,10.523,53.800,5,9.889,54.247
7,10.622,1:05.147,5,10.706,1:04.942,2,10.697,1:04.674,3,10.541,1:04.781,6,10.813,1:05.066,4,10.984,1:04.783,1,10.351,1:04.597
7,9.916,1:15.062,5,9.965,1:14.906,4,10.040,1:14.713,1,9.549,1:14.330,6,9.931,1:14.997,3,9.811,1:14.594,2,9.846,1:14.442
6,9.665,1:24.727,5,9.791,1:24.696,4,9.859,1:24.572,1,9.748,1:24.078,7,9.749,1:24.745,2,9.695,1:24.289,3,9.887,1:24.329
6,10.113,1:34.840,5,9.933,1:34.629,4,10.035,1:34.606,1,10.197,1:34.274,7,10.148,1:34.893,3,10.179,1:34.467,2,9.964,1:34.293
7,9.889,1:44.728,2,9.199,1:43.828,5,9.989,1:44.595,1,9.474,1:43.747,6,9.778,1:44.670,3,9.507,1:43.973,4,9.818,1:44.110
6,9.593,1:54.321,3,9.477,1:53.304,7,9.738,1:54.332,1,9.298,1:53.044,5,9.469,1:54.139,2,9.256,1:53.229,4,9.395,1:53.505
6,9.601,2:03.921,4,9.311,2:02.615,7,9.947,2:04.279,1,9.245,2:02.289,5,9.601,2:03.739,2,9.212,2:02.441,3,9.031,2:02.536
6,10.184,2:14.104,2,9.472,2:12.087,7,10.597,2:14.876,1,9.484,2:11.772,5,9.732,2:13.471,3,9.767,2:12.207,4,10.793,2:13.328
6,10.56,2:24.655,2,9.40,2:21.479,7,11.22,2:26.092,1,9.59,2:21.353,5,10.47,2:23.940,3,10.35,2:22.550,4,10.55,2:23.869
