Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Tomass BAKEVICS POSITION,Tomass BAKEVICS LAP TIME,Tomass BAKEVICS ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME
2,13.39,13.39,1,13.25,13.25,4,13.68,13.68,5,13.80,13.80,3,13.55,13.55
2,10.64,24.03,1,10.67,23.92,3,10.45,24.13,5,10.55,24.35,4,10.71,24.26
2,10.42,34.45,1,10.46,34.38,3,10.45,34.58,5,10.50,34.85,4,10.45,34.71
3,9.93,44.38,1,9.90,44.28,2,9.79,44.37,5,9.85,44.70,4,9.79,44.50
4,9.24,53.62,2,9.29,53.57,1,9.11,53.48,5,9.15,53.85,3,9.09,53.59
3,9.06,1:02.68,5,9.40,1:02.97,1,8.97,1:02.45,4,8.97,1:02.82,2,8.99,1:02.58
3,9.18,1:11.86,4,9.00,1:11.97,1,9.27,1:11.72,4,9.15,1:11.97,2,9.24,1:11.82
3,9.41,1:21.27,4,9.39,1:21.36,1,9.23,1:20.95,5,10.11,1:22.08,2,9.26,1:21.08
3,9.33,1:30.60,4,9.28,1:30.64,1,9.12,1:30.07,5,10.31,1:32.39,2,9.08,1:30.16
