MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
2,7.55,7.55,4,7.85,7.85,5,8.09,8.09,3,7.65,,1,7.34,7.34
2,9.42,16.97,4,9.57,17.42,5,9.74,17.83,3,9.40,,1,9.27,16.61
2,8.88,25.85,4,9.08,26.50,5,9.49,27.32,3,8.86,,1,8.91,25.52
4,15.62,41.47,2,9.28,35.78,3,9.84,37.16,5,18.74,,1,9.18,34.70
4,20.95,1:02.42,2,9.89,45.67,3,10.34,47.50,5,24.38,,1,9.25,43.95
