Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME
2,12.47,12.47,1,12.32,,3,12.59,12.59,4,12.72,12.72
3,9.37,21.84,1,9.31,,2,9.12,21.71,4,9.17,21.89
4,8.97,30.81,1,8.82,,2,8.78,30.49,3,8.74,30.63
4,8.57,39.38,2,8.71,,1,8.59,39.08,3,8.54,39.17
2,8.59,47.97,4,9.10,,1,8.78,47.86,3,8.99,48.16
2,8.74,56.71,3,8.56,,1,8.75,56.61,4,8.81,56.97
2,8.91,1:05.62,3,8.90,,1,8.88,1:05.49,4,9.04,1:06.01
3,9.14,1:14.76,1,8.88,,2,9.12,1:14.61,4,9.73,1:15.74
3,9.62,1:24.38,2,9.37,,1,9.21,1:23.82,4,10.66,1:26.40
