Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,Elisabeth WITT POSITION,Elisabeth WITT LAP TIME,Elisabeth WITT ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME
1,14.04,14.04,2,14.19,14.19,4,14.31,14.31,3,14.29,14.29
1,10.86,24.90,2,10.80,24.99,3,10.82,25.13,4,10.86,25.15
2,10.41,35.31,1,10.23,35.22,4,10.33,35.46,3,10.25,35.40
3,10.53,45.84,1,10.36,45.58,4,10.49,45.95,2,10.37,45.77
3,10.18,56.02,1,10.23,55.81,4,10.17,56.12,2,10.18,55.95
3,10.28,1:06.30,1,10.12,1:05.93,4,10.32,1:06.44,2,10.25,1:06.20
3,10.27,1:16.57,1,10.02,1:15.95,4,10.25,1:16.69,2,10.29,1:16.49
2,10.10,1:26.67,1,10.06,1:26.01,3,10.27,1:26.96,4,10.48,1:26.97
2,10.30,1:36.964,1,10.23,1:36.239,3,10.32,1:37.276,4,11.22,1:38.183
