Mateusz KRZEMINSKI POSITION,Mateusz KRZEMINSKI LAP TIME,Mateusz KRZEMINSKI ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME
1,7.05,7.05,2,7.16,7.16,3,7.28,7.28,4,7.44,7.44
2,9.34,16.39,1,9.12,16.28,2,9.11,16.39,4,9.03,16.47
4,9.50,25.89,1,8.56,24.84,2,8.69,25.08,3,8.75,25.22
4,8.91,34.80,1,8.75,33.59,3,8.97,34.05,2,8.74,33.96
4,9.30,44.102,1,8.97,42.56,2,8.87,42.92,3,9.08,43.047
