Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Viktor DIMITROV POSITION,Viktor DIMITROV LAP TIME,Viktor DIMITROV ELAPSED TIME,Jan-Ebele van der REE POSITION,Jan-Ebele van der REE LAP TIME,Jan-Ebele van der REE ELAPSED TIME
3,12.91,12.91,1,12.58,12.58,2,12.70,12.70
3,9.64,22.55,1,9.79,22.37,2,9.74,22.44
3,9.94,32.49,1,9.92,32.29,2,9.94,32.38
3,10.10,42.59,1,10.05,42.34,2,10.10,42.48
3,9.85,52.44,1,9.94,52.28,2,9.88,52.36
3,10.01,1:02.45,1,9.98,1:02.26,2,9.98,1:02.34
2,9.86,1:12.31,3,10.05,1:12.31,1,9.77,1:12.11
2,9.64,1:21.95,3,10.49,1:22.80,1,9.66,1:21.77
2,9.66,1:31.610,3,10.41,1:33.205,1,9.70,1:31.462
