LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME
1,12.73,12.73,3,12.99,12.99,2,12.85,12.85,4,13.10,13.10
1,9.99,22.72,2,9.84,22.83,3,10.09,22.94,4,9.88,22.98
1,9.82,32.54,2,9.82,32.65,3,9.80,32.74,4,9.86,32.84
1,9.69,42.23,3,9.72,42.37,4,9.74,42.48,2,9.40,42.24
2,9.09,51.32,3,9.11,51.48,4,9.11,51.59,1,8.98,51.22
2,9.11,1:00.43,3,9.08,1:00.56,4,9.07,1:00.66,1,9.14,1:00.36
2,9.15,1:09.58,3,9.16,1:09.72,4,9.15,1:09.81,1,9.13,1:09.49
1,9.04,1:18.62,3,9.03,1:18.75,4,9.14,1:18.95,2,9.21,1:18.70
1,9.13,1:27.744,2,9.05,1:27.797,4,9.21,1:28.159,3,9.27,1:27.964
