FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME
1,12.75,12.75,4,13.22,13.22,3,12.97,12.97,2,12.86,12.86
1,10.09,22.84,4,10.01,23.23,3,10.07,23.04,2,10.09,22.95
1,9.95,32.79,3,9.80,33.03,2,9.84,32.88,4,10.26,33.21
2,9.95,42.74,1,9.55,42.58,3,9.98,42.86,4,9.73,42.94
3,9.90,52.64,1,9.78,52.36,2,9.75,52.61,4,9.85,52.79
3,9.79,1:02.43,1,9.87,1:02.23,2,9.70,1:02.31,4,10.21,1:03.00
3,9.71,1:12.14,1,9.78,1:12.01,2,9.80,1:12.11,4,9.92,1:12.92
2,9.78,1:21.92,1,9.78,1:21.79,3,10.04,1:22.15,4,10.18,1:23.10
2,9.80,1:31.713,1,9.85,1:31.640,3,9.89,1:32.034,0,,PEN
