Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Munkhamidral GANBAT POSITION,Munkhamidral GANBAT LAP TIME,Munkhamidral GANBAT ELAPSED TIME
2,12.90,12.90,4,13.09,13.09,3,12.95,12.95,1,12.60,12.60
1,9.55,22.45,4,9.57,22.66,2,9.52,22.47,3,9.92,22.52
1,9.60,32.05,4,9.71,32.37,2,9.62,32.09,3,9.83,32.35
1,9.72,41.77,3,9.64,42.01,2,9.79,41.88,4,9.93,42.28
1,9.75,51.52,3,9.76,51.77,2,9.74,51.62,4,10.11,52.39
1,9.77,1:01.29,3,9.74,1:01.51,2,9.76,1:01.38,4,10.42,1:02.81
1,9.70,1:10.99,3,9.63,1:11.14,2,9.73,1:11.11,4,10.66,1:13.47
1,9.67,1:20.66,2,9.61,1:20.75,3,9.79,1:20.90,4,11.10,1:24.57
1,9.85,1:30.505,2,9.89,1:30.638,3,9.86,1:30.755,4,11.34,1:35.902
