Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME
3,14.96,14.96,1,14.69,14.69,2,14.83,14.83,4,15.07,15.07
3,10.99,25.95,1,11.04,25.73,2,11.02,25.85,4,10.98,26.05
3,10.34,36.29,1,10.36,36.09,2,10.35,36.20,4,10.34,36.39
3,10.00,46.29,1,9.97,46.06,2,9.99,46.19,4,10.10,46.49
3,9.90,56.19,1,9.90,55.96,2,9.91,56.10,4,9.91,56.40
3,9.87,1:06.06,1,9.88,1:05.84,2,9.89,1:05.99,4,10.03,1:06.43
1,9.79,1:15.85,2,10.01,1:15.85,3,10.03,1:16.02,4,10.43,1:16.86
1,9.79,1:25.64,3,10.25,1:26.10,2,10.03,1:26.05,4,11.00,1:27.86
1,10.22,1:35.854,3,10.37,1:36.468,2,10.01,1:36.054,4,11.72,1:39.572
