Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME
1,6.79,6.79,3,7.09,7.09,2,6.83,6.83,4,7.14,7.14
2,9.30,16.09,3,9.04,16.13,1,9.19,16.02,4,9.14,16.28
4,25.24,41.33,3,9.06,25.19,1,8.65,24.67,2,8.86,25.14
4,13.71,55.04,3,8.95,34.14,1,9.00,33.67,2,8.98,34.12
4,11.36,1:06.400,3,9.22,43.356,1,9.28,42.949,2,9.23,43.350
