KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,Jeroen SONNEVELD POSITION,Jeroen SONNEVELD LAP TIME,Jeroen SONNEVELD ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,WANG Xingchun POSITION,WANG Xingchun LAP TIME,WANG Xingchun ELAPSED TIME
4,8.48,8.48,1,8.16,8.16,2,8.24,8.24,5,8.65,8.65,8,8.97,8.97,3,8.33,8.33,6,8.79,8.79,7,8.91,8.91
4,10.92,19.40,1,10.89,19.05,2,10.97,19.21,5,10.87,19.52,8,10.89,19.86,3,10.97,19.30,6,10.83,19.62,7,10.80,19.71
5,10.27,29.67,1,10.33,29.38,3,10.26,29.47,6,10.27,29.79,8,10.10,29.96,4,10.24,29.54,7,10.23,29.85,2,9.73,29.44
5,9.76,39.43,2,9.73,39.11,4,9.88,39.35,6,9.74,39.53,8,9.70,39.66,3,9.67,39.21,7,9.72,39.57,1,9.63,39.07
2,9.71,49.14,3,10.13,49.24,6,10.04,49.39,4,9.78,49.31,8,9.90,49.56,5,10.18,49.39,7,9.87,49.44,1,9.95,49.02
2,9.80,58.94,3,9.80,59.04,5,9.88,59.27,4,9.84,59.15,7,9.84,59.40,8,10.04,59.43,6,9.91,59.35,1,9.79,58.81
2,9.76,1:08.70,3,9.75,1:08.79,5,9.73,1:09.00,4,9.76,1:08.91,8,20.66,1:20.06,7,19.17,1:18.60,6,9.75,1:09.10,1,9.80,1:08.61
2,9.83,1:18.53,3,9.87,1:18.66,5,9.93,1:18.93,4,9.88,1:18.79,8,11.07,1:31.13,7,10.34,1:28.94,6,9.89,1:18.99,1,9.83,1:18.44
2,9.86,1:28.39,3,9.83,1:28.49,5,9.76,1:28.69,4,9.83,1:28.62,8,10.89,1:42.02,7,9.48,1:38.42,6,9.79,1:28.78,1,9.84,1:28.28
1,9.35,1:37.74,2,9.40,1:37.89,5,9.51,1:38.20,4,9.42,1:38.04,8,11.23,1:53.25,7,9.29,1:47.71,6,9.51,1:38.29,3,9.64,1:37.92
1,9.03,1:46.77,2,9.03,1:46.92,5,9.05,1:47.25,4,9.08,1:47.12,8,10.92,2:04.17,7,9.57,1:57.28,6,9.06,1:47.35,3,9.11,1:47.03
1,8.89,1:55.66,2,8.90,1:55.82,5,8.89,1:56.14,4,8.89,1:56.01,8,11.66,2:15.83,7,10.16,2:07.44,6,8.86,1:56.21,3,8.90,1:55.93
1,8.79,2:04.45,2,8.86,2:04.68,6,9.01,2:05.15,3,8.94,2:04.95,8,11.17,2:27.00,7,10.56,2:18.00,5,8.77,2:04.98,4,9.03,2:04.96
0,,PEN,1,9.04,2:13.713,4,9.30,2:14.450,3,9.27,2:14.219,7,12.20,2:39.192,6,11.07,2:29.069,2,8.74,2:13.717,5,9.58,2:14.531
