Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Yulia KICHAPOVA POSITION,Yulia KICHAPOVA LAP TIME,Yulia KICHAPOVA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
1,7.30,7.30,2,7.41,7.41,4,7.66,7.66,3,7.62,7.62
1,9.86,17.16,2,9.78,17.19,4,9.85,17.51,3,9.72,17.34
2,9.57,26.73,1,9.45,26.64,4,9.58,27.09,3,9.48,26.82
3,9.50,36.23,1,9.49,36.13,4,9.59,36.68,2,9.40,36.22
3,10.17,46.391,2,9.81,45.933,4,9.86,46.534,1,9.56,45.774
