Tjerk de BOER POSITION,Tjerk de BOER LAP TIME,Tjerk de BOER ELAPSED TIME,DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME
1,13.36,13.36,3,13.63,13.63,4,13.70,13.70,2,13.49,13.49
1,10.59,23.95,3,10.52,24.15,4,10.56,24.26,2,10.56,24.05
2,9.70,33.65,3,9.59,33.74,4,9.60,33.86,1,9.58,33.63
2,9.24,42.89,3,9.25,42.99,4,9.24,43.10,1,9.16,42.79
2,9.15,52.04,3,9.14,52.13,4,9.21,52.31,1,9.17,51.96
2,9.08,1:01.12,3,9.07,1:01.20,4,9.30,1:01.61,1,9.06,1:01.02
3,9.10,1:10.22,1,8.94,1:10.14,4,9.62,1:11.23,2,9.14,1:10.16
3,9.33,1:19.55,1,8.98,1:19.12,4,9.90,1:21.13,2,9.22,1:19.38
3,9.21,1:28.745,1,9.54,1:28.66,4,10.18,1:31.291,2,9.31,1:28.69
