BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,WILLIAMS Corey POSITION,WILLIAMS Corey LAP TIME,WILLIAMS Corey ELAPSED TIME
1,6.82,6.82,3,6.99,6.99,2,6.97,6.97,4,7.24,7.24
1,9.29,16.12,2,9.18,16.17,3,9.25,16.22,4,9.42,16.66
3,9.11,25.24,2,8.81,24.98,1,8.64,24.86,4,8.99,25.66
3,9.00,34.24,2,8.92,33.90,1,9.02,33.88,4,9.28,34.94
3,9.07,43.301,1,9.23,43.123,2,9.31,43.189,4,9.47,44.404
